dataset,family,graph,alpha,base_distance,sigma,gamma,eigen_index,eigenvalue_lsym,k_true,true_k_gap,predicted_k_largest_gap,graph_seconds,accuracy,ari,nmi,purity,error
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,1,-4.9337124085126664e-18,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,2,0.4278577538196078,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,3,0.664087594103652,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,4,0.8851218871995584,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,5,0.9263770221004488,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,6,0.973686989581651,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,7,0.9882195945974138,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,8,0.992734165898312,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,9,0.9933719624339099,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,10,0.9995865701513603,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,11,1.001087147331313,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,0.7071067811865475,2.5571704210202393,1.8081925453530698,0.15292576279899822,12,1.0027260399833546,3,0.2210342930959064,1.0,0.00621870800000579,0.912,0.7761313951475374,0.7773901376349587,0.912,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,1,-2.0732714307052164e-23,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,2,0.6610835934057347,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,3,0.8316393272655336,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,4,0.9624019156506359,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,5,0.9805946095791913,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,6,0.9943309247169428,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,7,1.0004112512525067,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,8,1.001286587290808,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,9,1.001688755500713,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,10,1.0025302658076962,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,11,1.0026115871968153,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.0,2.5571704210202393,2.5571704210202393,0.0764628813994991,12,1.0026167574849634,3,0.13076258838510235,1.0,0.003551666999996428,0.908,0.7656108916262326,0.7684092022948247,0.908,
variable_density,synthetic,dense_rbf,1.4,2.5571704210202393,3.5800385894283346,0.039011674183417916,1,-1.1102230246291324e-15,3,0.07420946030729447,1.0,0.007609666999996989,0.908,0.7678448622373809,0.772387288440726,0.908,
