dataset,family,graph,n_neighbors,repeat,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_all,digits,knn_rbf,4.0,4,0.7,2.73093917677348,0.06704184366460315,0.01560375000000036,131152,10330,0.7557039510294936,0.6694997040527627,0.8250359399579198,0.7723984418475236,0.13016100000000108,0.0848373329999994,0.23060208300000085,54.015928722947216,
digits_all,digits,knn_rbf,6.0,0,0.7,2.867845221386734,0.06079370155355132,0.013894624999998939,191248,15338,0.7690595436839176,0.6789548285790288,0.8304238683385957,0.7840845854201447,0.07320412500000018,0.10743866600000018,0.1945374159999993,62.46826453140264,
digits_all,digits,knn_rbf,6.0,1,0.7,2.867845221386734,0.06079370155355132,0.014301915999997306,191248,15338,0.7690595436839176,0.6789548285790288,0.8304238683385957,0.7840845854201447,0.06837287500000144,0.1165940840000026,0.19926887500000134,62.46826453140263,
digits_all,digits,knn_rbf,6.0,2,0.7,2.867845221386734,0.06079370155355132,0.012930209000000303,191248,15338,0.7696160267111853,0.6793751708773571,0.8312190766904152,0.7846410684474123,0.06318745900000167,0.0997707919999975,0.17588845999999947,62.46988738342341,
digits_all,digits,knn_rbf,6.0,3,0.7,2.867845221386734,0.06079370155355132,0.015246583000003255,191248,15338,0.7690595436839176,0.6789548285790288,0.8304238683385959,0.7840845854201447,0.0712889170000004,0.0988992919999987,0.18543479200000235,62.46826453140264,
digits_all,digits,knn_rbf,6.0,4,0.7,2.867845221386734,0.06079370155355132,0.013752834000001712,191248,15338,0.7690595436839176,0.6789548285790288,0.8304238683385956,0.7840845854201447,0.06123312500000111,0.1032968330000017,0.17828279200000452,62.46826453140265,
digits_all,digits,knn_rbf,8.0,0,0.7,2.9717447393572907,0.05661701900255785,0.015178541000000934,250288,20258,0.7518085698386199,0.662182639515963,0.8164585170907664,0.7673900946021146,0.0660055419999992,0.10370170900000275,0.18488579200000288,58.384718714691935,
digits_all,digits,knn_rbf,8.0,1,0.7,2.9717447393572907,0.05661701900255785,0.018782666999999975,250288,20258,0.7518085698386199,0.662182639515963,0.8164585170907664,0.7673900946021146,0.05635291700000167,0.11152025000000165,0.1866558340000033,58.38471871469194,
digits_all,digits,knn_rbf,8.0,2,0.7,2.9717447393572907,0.05661701900255785,0.017627999999998423,250288,20258,0.7518085698386199,0.662182639515963,0.8164585170907662,0.7673900946021146,0.05811674999999994,0.10285079200000169,0.17859554200000005,58.384718714691935,
digits_all,digits,knn_rbf,8.0,3,0.7,2.9717447393572907,0.05661701900255785,0.014987542000000076,250288,20258,0.7518085698386199,0.662182639515963,0.8164585170907663,0.7673900946021146,0.05848704099999935,0.11081162500000019,0.18428620799999962,58.384718714691935,
