dataset,family,graph,n_neighbors,alpha,sigma,gamma,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
circles,synthetic,knn_rbf,8.0,0.7,0.04962454201935402,203.0378382785335,0.002520000000000522,59124,4760,1.0,1.0,1.0,1.0,0.12001812500000142,0.007837916999999806,0.13037604200000175,6.7733239139035065e-25,
circles,synthetic,knn_rbf,10.0,0.7,0.055766802898888586,160.77499693660292,0.001546208999997134,71868,5822,1.0,1.0,1.0,1.0,0.1070964580000009,0.008275292000000434,0.11691795899999846,1.9741314873303378e-25,
circles,synthetic,knn_rbf,12.0,0.7,0.06136152531249242,132.79377315758822,0.0018887499999991064,83964,6830,1.0,1.0,1.0,1.0,0.07536724999999933,0.023448625000000334,0.10070462499999877,1.9697937327703346e-25,
circles,synthetic,knn_rbf,16.0,0.7,0.07185556269342695,96.83875894806143,0.0033358749999976567,108276,8856,1.0,1.0,1.0,1.0,0.057225083999998816,0.011279709000000082,0.07184066799999655,2.40836461024855e-26,
circles,synthetic,knn_rbf,24.0,0.7,0.09348984552455715,57.2059391701498,0.003500582999997448,156300,12858,1.0,1.0,1.0,1.0,0.022711292000000327,0.011335583000001037,0.03754745799999881,0.0012507877651239288,
circles,synthetic,knn_rbf,32.0,0.7,0.11226540187124578,39.67145542338607,0.0032434999999999548,205500,16958,1.0,1.0,1.0,1.0,0.01824475000000092,0.011503666999999496,0.03299191700000037,0.008372238020094479,
circles,synthetic,knn_rbf,48.0,0.7,0.14999462598127122,22.223814609642474,0.00678324999999802,325356,26946,1.0,1.0,1.0,1.0,0.017021624999998153,0.012239999999998474,0.03604487499999465,0.5579518064071826,
blobs,synthetic,dense_rbf_reference,,0.7,3.7679203206072467,0.035218153641461296,0.012418332999999393,2880000,359400,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.22628779200000082,0.11464687500000181,0.353353000000002,20.31786869612622,
blobs,synthetic,knn_rbf,2.0,0.7,0.09620257568810461,54.025227541659454,0.001683082999999641,21316,1576,,,,,,,,,"ARPACK error -1: No convergence (6001 iterations, 0/3 eigenvectors converged)"
blobs,synthetic,knn_rbf,3.0,0.7,0.11810187747575346,35.84729591951104,0.0017316250000014577,30124,2310,,,,,,,,,"ARPACK error -1: No convergence (6001 iterations, 0/3 eigenvectors converged)"
blobs,synthetic,knn_rbf,4.0,0.7,0.13647112735844807,26.84654769629431,0.0015040840000004607,39100,3058,,,,,,,,,"ARPACK error -1: No convergence (6001 iterations, 0/3 eigenvectors converged)"
blobs,synthetic,knn_rbf,6.0,0.7,0.1637504186203205,18.646836657064952,0.0017175830000013548,55948,4462,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.5913478330000004,0.012896334000000564,0.6059617500000023,0.004700316348721315,
blobs,synthetic,knn_rbf,8.0,0.7,0.18436465020656448,14.710068559053122,0.0016794999999980575,73372,5914,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.27801633300000006,0.011540791999998135,0.29123662499999625,0.015936992304033514,
blobs,synthetic,knn_rbf,10.0,0.7,0.20458020706859695,11.946557469616836,0.002103709000000009,91324,7410,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.07241699999999796,0.011967625000000481,0.08648833399999845,0.03733032162312966,
blobs,synthetic,knn_rbf,12.0,0.7,0.22334071415802437,10.023841787759357,0.003310916000000219,109540,8928,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.04836062500000082,0.016902916999999462,0.0685744580000005,0.06863022015072485,
blobs,synthetic,knn_rbf,16.0,0.7,0.25446712244430886,7.721588382507073,0.003101125000000593,145540,11928,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.019911000000000456,0.015621499999998179,0.03863362499999923,0.14257457839888052,
blobs,synthetic,knn_rbf,24.0,0.7,0.3106019741258874,5.182765760205399,0.0048450419999994665,218908,18042,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.013462750000002188,0.012577083000000044,0.0308848750000017,0.3222693210933263,
blobs,synthetic,knn_rbf,32.0,0.7,0.3583899474270464,3.8927665994898137,0.004526084000001873,292324,24160,0.9966666666666667,0.9900168347249766,0.9829929733076637,0.9966666666666667,0.014150582999999273,0.014243875000001793,0.03292054200000294,0.487259673211041,
blobs,synthetic,knn_rbf,48.0,0.7,0.44037069759031483,2.578298393478039,0.0075796670000016775,441100,36558,0.9983333333333333,0.9949958125176231,0.990445010867515,0.9983333333333333,0.01413254099999861,0.016217208000000483,0.03792941600000077,0.4592684230662976,
