dataset,family,graph,alpha,base_distance,sigma,gamma,n_neighbors,graph_seconds,affinity_bytes,nnz_affinity,accuracy,ari,nmi,purity,eigensolver_seconds,post_kmeans_seconds,total_seconds,embedding_distortion,error
digits_17,digits,dense_rbf,3.0,9.706506462765532,29.119519388296595,0.0005896599059256856,,0.026849791000000067,1042568,129960,1.0,1.0,1.0,1.0,0.027001250000000088,0.02077641599999991,0.07462745700000006,17.919137808830953,
digits_17,digits,dense_rbf,5.0,9.706506462765532,48.53253231382766,0.00021227756613324678,,0.009035874999999916,1042568,129960,1.0,1.0,1.0,1.0,0.049424875000000146,0.04462283300000003,0.10308358300000009,17.89640934388302,
digits_17,digits,knn_rbf,0.1,5.100527975613524,0.5100527975613524,1.9219396057043527,24.0,0.008197834000000181,144896,11954,0.5152354570637119,-0.0012297309037447397,0.0007192709205735736,0.5152354570637119,0.027152292000000244,0.0397603339999999,0.07511046000000032,136.6615459264373,
digits_17,digits,knn_rbf,0.2,5.100527975613524,1.0201055951227047,0.4804849014260882,24.0,0.03957208400000001,145952,12042,0.518005540166205,0.0010799935874672062,0.025621634338377292,0.518005540166205,0.013267750000000689,0.07308499999999984,0.12592483400000054,2.210127390667263,
digits_17,digits,knn_rbf,0.35,5.100527975613524,1.7851847914647332,0.15689302903709004,24.0,0.024212582999999732,145952,12042,0.5706371191135734,0.019155331619377675,0.11303348885649928,0.5706371191135734,0.07574637499999959,0.028269583000000154,0.12822854099999947,0.13003067262975965,
digits_17,digits,knn_rbf,0.5,5.100527975613524,2.550263987806762,0.0768775842281741,24.0,0.020184916999999913,145952,12042,0.5706371191135734,0.019155331619377675,0.11303348885649928,0.5706371191135734,0.02655054100000065,0.025995334000000092,0.07273079200000065,18.879390035852726,
digits_17,digits,knn_rbf,0.7,5.100527975613524,3.5703695829294664,0.03922325725927251,24.0,0.013484624999999362,145952,12042,1.0,1.0,1.0,1.0,0.034526749999999495,0.01915416599999986,0.06716554099999872,4.282175180412709,
digits_17,digits,knn_rbf,0.7071067811865475,5.100527975613524,3.606617919188016,0.03843879211408706,24.0,0.013084166999999702,145952,12042,1.0,1.0,1.0,1.0,0.07963824999999947,0.06977995900000078,0.16250237599999995,4.149800382031491,
digits_17,digits,knn_rbf,1.0,5.100527975613524,5.100527975613524,0.019219396057043526,24.0,0.037139416999999675,145952,12042,1.0,1.0,1.0,1.0,0.016836250000000774,0.062464166999999904,0.11643983400000035,1.6122671803500868,
digits_17,digits,knn_rbf,1.4,5.100527975613524,7.140739165858933,0.009805814314818128,24.0,0.013412416000000427,145952,12042,1.0,1.0,1.0,1.0,0.203899292,0.0529187499999999,0.27023045800000034,1.5601997208591785,
digits_17,digits,knn_rbf,2.0,5.100527975613524,10.201055951227048,0.0048048490142608815,24.0,0.010193333000000138,145952,12042,1.0,1.0,1.0,1.0,0.01549787499999944,0.011567874999999894,0.03725908299999947,1.7713161854066835,
digits_17,digits,knn_rbf,3.0,5.100527975613524,15.301583926840571,0.002135488450782614,24.0,0.003113457999999625,145952,12042,1.0,1.0,1.0,1.0,0.014155374999999637,0.01925079200000024,0.0365196249999995,2.053182471070721,
digits_17,digits,knn_rbf,5.0,5.100527975613524,25.50263987806762,0.0007687758422817411,24.0,0.005918375000000253,145952,12042,1.0,1.0,1.0,1.0,0.009803375000000614,0.011047791000000196,0.026769541000001063,2.302224753977819,
digits_0136,digits,dense_rbf,0.1,9.91906574589092,0.991906574589092,0.5081927518411335,,0.09143379199999924,4193408,523180,0.5345303867403315,0.33045644576353195,0.5447875831554604,0.5345303867403315,0.18830020800000025,0.018306458000000525,0.298040458,8.228677297576782,
digits_0136,digits,dense_rbf,0.2,9.91906574589092,1.983813149178184,0.1270481879602834,,0.04811166599999961,4193408,523452,0.7002762430939227,0.6277230137716258,0.7387540928066388,0.738950276243094,0.06105845899999984,0.06945929200000034,0.1786294169999998,33.090670247304416,
digits_0136,digits,dense_rbf,0.35,9.91906574589092,3.471673011061822,0.04148512259927621,,0.045798749999999444,4193408,523452,0.8784530386740331,0.72648784962027,0.7358945765215532,0.8784530386740331,0.1014911249999999,0.1371322079999997,0.28442208299999905,30.532848491788243,
digits_0136,digits,dense_rbf,0.5,9.91906574589092,4.95953287294546,0.020327710073645346,,0.04079812500000024,4193408,523452,0.9295580110497238,0.8294643566965161,0.8240428201808611,0.9295580110497238,0.13930404200000002,0.027143584000000054,0.2072457510000003,55.55118291824116,
digits_0136,digits,dense_rbf,0.7,9.91906574589092,6.943346022123644,0.010371280649819053,,0.03723087500000055,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.06731924999999972,0.07768766700000018,0.18223779200000045,94.10592234555797,
digits_0136,digits,dense_rbf,0.7071067811865475,9.91906574589092,7.01383865195467,0.010163855036822673,,0.04826954199999989,4193408,523452,0.9447513812154696,0.8648031518798465,0.8576991479653745,0.9447513812154696,0.10533154099999997,0.08056808300000018,0.23416916600000004,94.55699103657594,
digits_0136,digits,dense_rbf,1.0,9.91906574589092,9.91906574589092,0.005081927518411336,,0.05266250000000028,4193408,523452,0.93646408839779,0.8445755650815018,0.832133981621038,0.93646408839779,0.06702541699999998,0.11789983400000015,0.2375877510000004,106.64442153501915,
digits_0136,digits,dense_rbf,1.4,9.91906574589092,13.886692044247289,0.002592820162454763,,0.04917020800000049,4193408,523452,0.9295580110497238,0.8277948703035595,0.8127587795701869,0.9295580110497238,0.07537174999999952,0.040929041000000055,0.16547099900000006,112.90639032659882,
digits_0136,digits,dense_rbf,2.0,9.91906574589092,19.83813149178184,0.001270481879602834,,0.0485599170000004,4193408,523452,0.925414364640884,0.8181924899947548,0.8042900710000085,0.925414364640884,0.11024241599999929,0.07549445800000054,0.23429679100000023,116.17812516356878,
digits_0136,digits,dense_rbf,3.0,9.91906574589092,29.757197237672763,0.000564658613156815,,0.03597941700000007,4193408,523452,0.925414364640884,0.8181924899947548,0.8042900710000085,0.925414364640884,0.06541220800000058,0.1315334159999999,0.23292504100000055,117.95330457015962,
